Date,BCOMHG,BCOMNI,BCOMCL
2024-04-19,4.514,19368.53,82.22
2024-04-22,4.4935,19575.78,81.9
2024-04-23,4.4495,19005.53,82.56
2024-04-24,4.4765,18810.28,82.09
2024-04-25,4.5315,19084.53,82.75
2024-04-26,4.569,19154.78,83.13
2024-04-29,4.6765,19187.28,82.03
2024-04-30,4.5645,19156.28,81.28
2024-05-01,4.546,18829.03,78.44
2024-05-02,4.4845,18682.03,78.48
2024-05-03,4.557,19147.78,77.76
2024-05-07,4.6055,19032.53,78.06
2024-05-08,4.5425,18791.78,78.56
2024-05-09,4.585,19005.28,78.8
2024-05-10,4.6625,19018.03,77.84
2024-05-13,4.766,19071.03,78.6
2024-05-14,4.895,18953.53,77.65
2024-05-15,4.9245,19462.28,78.16
2024-05-16,4.877,19955.78,78.74
2024-05-17,5.05,21037.28,79.58
2024-05-20,5.079,21310.53,79.3
2024-05-21,5.106,21176.28,78.66
2024-05-22,4.8485,20363.78,77.15
2024-05-23,4.7925,20080.03,76.46
2024-05-24,4.7535,20219.78,77.23
2024-05-28,4.855,20453.53,79.35
2024-05-29,4.791,20420.78,78.8
2024-05-30,4.6595,20017.28,77.54
2024-05-31,4.6035,19541.53,76.73
2024-06-03,4.6655,19398.53,74.09
2024-06-04,4.5375,18783.53,73.06
2024-06-05,4.5865,18502.78,73.82
2024-06-06,4.667,18520.53,75.24
2024-06-07,4.477,18077.03,75.22
2024-06-10,4.5395,18004.53,77.33
2024-06-11,4.4935,17948.53,77.55
2024-06-12,4.555,17933.28,78.15
2024-06-13,4.472,17668.28,78.26
2024-06-14,4.4705,17539.28,78.05
2024-06-17,4.4275,17320.78,79.72
2024-06-18,4.447,17234.28,80.71
2024-06-19,4.5023,17247.78,80.59
2024-06-20,4.521,17298.53,81.29
2024-06-21,4.4265,17102.28,79.96
2024-06-24,4.425,17142.53,80.86
2024-06-25,4.3655,17125.78,80.07
2024-06-26,4.3635,17019.28,80.19
2024-06-27,4.3485,17189.28,80.83
2024-06-28,4.3915,17143.03,80.64
2024-07-01,4.418,17346.03,82.32
2024-07-02,4.419,16958.53,81.91
2024-07-03,4.5335,17326.53,83.02
2024-07-04,4.561,17183.03,83.94
2024-07-05,4.652,17273.53,82.26
2024-07-08,4.618,17342.78,81.52
2024-07-09,4.5775,17056.28,80.56
2024-07-10,4.6085,16751.28,81.07
2024-07-11,4.5065,16769.53,81.38
2024-07-12,4.593,16822.28,81.02
2024-07-15,4.5265,16664.53,80.84
2024-07-16,4.4495,16634.53,79.71
2024-07-17,4.4085,16422.03,81.44
2024-07-18,4.2795,16371.03,81.3
2024-07-19,4.2365,16176.28,78.64
2024-07-22,4.1975,16115.03,78.4
2024-07-23,4.1605,15984.78,75.92
2024-07-24,4.109,15772.78,76.58
2024-07-25,4.1255,15719.28,77.11
2024-07-26,4.124,15727.78,76.0
2024-07-29,4.0845,15832.53,74.8
2024-07-30,4.098,15986.53,73.88
2024-07-31,4.1875,16398.03,76.84
2024-08-01,4.095,16136.78,75.4
2024-08-02,4.115,16258.28,72.59
2024-08-05,4.0105,16105.53,72.2
2024-08-06,4.036,16316.28,72.34
2024-08-07,3.9635,16134.78,74.17
2024-08-08,3.97,16093.03,75.04
2024-08-09,4.002,16197.28,75.61
2024-08-12,4.075,16188.28,78.46
2024-08-13,4.056,16298.53,76.8
2024-08-14,4.046,16137.03,75.84
2024-08-15,4.153,16239.03,76.99
2024-08-16,4.149,16348.53,75.54
2024-08-19,4.1885,16695.53,73.66
2024-08-20,4.168,16773.53,73.17
2024-08-21,4.197,16761.03,71.3
2024-08-22,4.1545,16488.28,72.28
2024-08-23,4.211,16638.03,73.93
2024-08-27,4.2575,17055.28,74.46
